,Penium_libellula,Penium_spirostriolatum,Penium_exiguum,Penium_margaritaceum,Penium_polymorphum,Penium_1,Penium_2,Penium_3,Penium_4,Netrium_digitus,Triploceras_verticillatum,Triploceras_gracile,Hyalotheca_dissiliens,Desmidium_baileyi,Desmidium_swartzii,Desmidium_grevellei,Docidium_baculum,Docidium_undulatum,Bambusina_borreri,Spirotaenia_condensata,Spondylosium_pulchrum,Tetmemorus_granulatus,Tetmemorus_brebissonii,Tetmemorus_laevis,Xanthidium_antilopaeum,Xanthidium_cristatum,Xanthidium_armatum,xanthidium_octocorne,Teilingia_excavata,Mesotaenium_degreyi,cylindrocystis_brebissonii,Staurodesmus_extensus,Staurodesmus_validus,Staurodesmus_triangularis,Staurodesmus_bulnheimii,Staurodesmus_subulatus,Staurodesmus_1,Staurodesmus_2,Staurodesmus_convergens,Staurodesmus_3,Staurodesmus_incas,Micrasterias_pinnatifida,Micrasterias_truncata,Micrasterias_muricata,Micrasterias_depauperata,Micrasterias_floridensis,Micrasterias_laticeps,Micrasterias_rotata,Micrasterias_conferta,Micrasterias_thomasiana,Micrasterias_1,Micrasterias_2,Actinotaenium_costatum,Actinotaenium_globosum,Actinotaenium_1,Actinotaenium_crassiusculum,Actinotaenium_2,Actinotaenium_cucurbita,Actinotaenium_diplosporum,Actinotaenium_cucurbitinum,Actinotaenium_3,Euastrum_oblongum,Euastrum_sinuosum,Euastrum_pinnatum,Euastrum_insigne,Euastrum_denticulatum,Euastrum_bidentatum,Euastrum_didelta,Euastrum_evolutum,Euastrum_ciastonii,Euastrum_binale,Euastrum_inerme,Euastrum_divaricatum,Euastrum_1,Euastrum_croasdalae,Euastrum_anastum,Euastrum_2,Euastrum_luetkemuelleri,Euastrum_crassum,Euastrum_intermedium,Euastrum_ampullaceum,Euastrum_humerosum,Euastrum_gemmatum_,Euastrum_3,Euastrum_insulare,Staurastrum_cf._comptum,Staurastrum_cerastes,Staurastrum_brebissonii,Staurastrum_furcigerum,Staurastrum_hystrix,Staurastrum_inconspicuum,Staurastrum_1,Staurastrum_2,Staurastrum_3,Staurastrum_4,Staurastrum_5,Staurastrum_6,Staurastrum_7,Staurastrum_8,Staurastrum_polytrichum,Staurastrum_disputatum,Staurastrum_9,Staurastrum__10,Staurastrum_11,Staurastrum_12,Staurastrum_13,Staurastrum_14,Staurastrum_15,Staurastrum_16,Staurastrum_17,Staurastrum_margaritaceum,Staurastrum_18,Staurastrum_19,Staurastrum_20,Staurastrum_21,Staurastrum_22,Staurastrum_23,Staurastrum_24,Staurastrum_25,Staurastrum_26,Staurastrum_27,Staurastrum_28,Staurastrum_29,Staurastrum_30,Staurastrum_31,Staurastrum_32,Staurastrum_33,Staurastrum_34,Staurastrum_35,Cosmarium_contractum,Cosmarium_amoenum,Cosmarium_psuedoconnactum,Cosmarium_1,Cosmarium_margaritiferum,Cosmarium_phaseolus,Cosmarium_2,Cosmarium_undulatum,Cosmarium_ovale,Cosmarium_3,Cosmarium_trilobulatum,Cosmarium_4,Cosmarium_eloiseanum,Cosmarium_5_,Cosmarium_cf._isthmium,Cosmarium_cf._botrytis,Cosmarium_vitiosum,Cosmarium_6,Cosmarium_cf._ornatum,Cosmarium_7,Cosmarium_8,Cosmarium_9,Cosmarium_10,Cosmarium_12,Cosmarium_13,Cosmarium_14,Cosmarium_15,Cosmarium_16,Cosmarium_17,Cosmarium_18,Cosmarium_19,Cosmarium_pachydermum,Cosmarium_transitorium,Cosmarium_21,Cosmarium_hammeri,Cosmarium_22,Cosmarium_23,Cosmarium_24,Cosmarium_pyramidium,Cosmarium_26,Cosmarium_27,Cosmarium_28,Cosmarium_29,Cosmarium_30_,Cosmarium_31,Cosmarium_32,Cosmarium_33,Cosmarium_34,Cosmarium_35,Cosmarium_36,Cosmarium_37,Cosmarium_38,Cosmarium_pseudopyramidatum,Cosmarium_39,Cosmarium_40_,Cosmarium_41,Cosmarium_42,Cosmarium_43,Cosmarium_44,Cosmarium_45,Cosmarium_46,Cosmarium_47,Cosmarium_48,Pleurotaenium__verrucosum,Pleurotaenium__minutum,Pleurotaenium_constrictum,Pleurotaenium_ehrenbergii,Pleurotaenium_subcoronulatum,Pleurotaenium_trabecula,Pleurotaenium_nodulosum,Pleurotaenium_maximum,Pleurotaenium_1,Planotaenium_interruptum,Closterium_1,Closterium_2,Closterium_venus_,Closterium_3,Closterium_4,Closterium_5,Closterium_navicula,Closterium_cf._setaceum,Closterium_gracile,Closterium_aciculare,Closterium_angustatum,Closterium_baillyanum,Closterium_acerosum,Closterium_6,Closterium_7,Closterium_costatum,Closterium_9,Closterium_20,Closterium_ulna,Closterium_ralfsii,Closterium_abruptum,Closterium_21,Closterium_striolatum,Closterium_23,Closterium_24,Closterium_25,Closterium_26,Closterium_27,Closterium_28,Closterium_29,Closterium_30,Closterium_31,Closterium_32,Closterium_33,Closterium_34,Closterium_35,Closterium_36,Closterium_37,Closterium_38,Closterium_intermedium,Closterium_39,pH,Conductivity,Shoreline_Length,Total_Area,Unvegetated_Open_Water_Area,Percent_Vegetation_Cover,Lat,Long,Elev,Habitat,Geology
Osgood_Pond,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,119,2.37,0.08106475,0.0200963,75.20957013,42.822088,-71.664256,81,HHP,p1m
Grassy_Pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,94,4.46,0.52501018,0.38866278,25.97042975,42.768865,-71.995142,360,HHP,sru
Casalis_Pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,31,0.91,0.04016294,0.00117364,97.07780357,42.848676,-71.926737,315,HHP,srl
King_Brook_Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,23,2.01,0.10653152,0.04864812,54.33452935,42.799801,-71.806509,253,HHP,ds16
May_Pond,0,0,0,0,0,0,0,0,0,1,2,7,2,0,0,1,0,1,9,0,0,0,3,0,3,4,1,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,3,1,0,1,3,2,3,0,0,6,4,4,6,0,0,0,0,0,0,0,1,0,5,51.5,3.95,0.44952686,0.39852228,11.34628084,43.232887,-72.114904,485,NHC,dk2x
Mill_Pond,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,8,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,3,0,0,1,0,1,0,0,0,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,12,2.49,0.06435827,0.05333009,17.13560666,43.232897,-72.102722,498,NHC,srl
North_Pond,4,0,1,0,0,0,1,0,0,21,0,2,0,0,0,0,1,2,2,0,0,3,4,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,1,0,9,0,0,0,0,9,2,5,3,0,0,0,0,0,0,5,2,0,13,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,1,0,0,1,3,0,2,0,2,0,0,2,0,0,0,1,0,0,0,1,3,4,0,3,2,0,0,0,0,0,1,0,3,0,0,9,0,0,0,0,0,7,0,1,2,2,0,0,0,0,0,3,1,1,5,17.6,3.97,0.2181857,0.16339623,25.11139364,43.239436,-72.098925,501,NHC,srl
Bear_Pond,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,25,1.27,0.04598312,0.00384289,91.64282458,43.238453,-72.09167,532,NHC,srl
Trail_Wetland,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0.4,0.00552128,0.00042744,92.25831691,43.237726,-72.096916,509,NHC,sru
Fourth_CT_Lake,7,4,0,1,0,1,1,0,0,4,6,1,5,2,12,2,0,0,0,2,3,14,1,3,0,6,4,1,0,0,7,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,6,2,1,0,3,0,0,1,0,0,0,0,0,0,5,14,2,2,10,17,2,5,0,0,0,0,0,1,7,1,1,1,1,2,0,0,0,0,2,2,10,1,0,0,0,0,0,0,0,2,5,2,1,1,0,7,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,4,2,1,3,10,16,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,7,1,3,0,0,0,0,2,0,0,0,3,6,2,2,1,4,0,0,0,3,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2,10,6,3,1,0,0,0,3.75,51,0.53,0.0156983,0.00507382,67.67917545,45.248048,-71.214221,813,HSF,sfr
